"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Acceso a Internet";"Ayuntamiento de Córdoba > Informática";"Sí";"62";"fas fa-wifi";"2022-02-09 19:13";
"Acceso a Internet > INT. Alta";"Ayuntamiento de Córdoba > Informática";"No";"65";"fas fa-wifi";"2022-05-31 14:17";
"Acceso a Internet > INT. Baja";"Ayuntamiento de Córdoba > Informática";"No";"66";"fas fa-wifi";"2022-05-31 14:17";
"Acceso a Internet > INT. Modificación";"Ayuntamiento de Córdoba > Informática";"No";"67";"fas fa-wifi";"2022-05-31 14:17";
"Aplicaciones";"Ayuntamiento de Córdoba > Informática";"Sí";"91";"far fa-window-restore";"2022-06-07 17:56";
"Aplicaciones > APL. Corporativas";"Ayuntamiento de Córdoba > Informática";"Sí";"42";"far fa-window-restore";"2022-06-07 17:57";
"Aplicaciones > APL. Corporativas > APL-COR. ACIVIT";"Ayuntamiento de Córdoba > Informática";"Sí";"109";"far fa-window-restore";"2022-09-21 13:09";
"Aplicaciones > APL. Corporativas > APL-COR. Actas de Pleno y JGL";"Ayuntamiento de Córdoba > Informática";"Sí";"78";"far fa-window-restore";"2022-06-07 17:58";
"Aplicaciones > APL. Corporativas > APL-COR. Acuses";"Ayuntamiento de Córdoba > Informática";"Sí";"46";"far fa-window-restore";"2022-06-07 17:58";
"Aplicaciones > APL. Corporativas > APL-COR. Asociaciones";"Ayuntamiento de Córdoba > Informática";"Sí";"108";"far fa-window-restore";"2022-08-10 13:09";
"Aplicaciones > APL. Corporativas > APL-COR. Cita Previa CIGES";"Ayuntamiento de Córdoba > Informática";"Sí";"72";"far fa-window-restore";"2023-07-24 09:55";
"Aplicaciones > APL. Corporativas > APL-COR. Cliente ligero SCSP";"Ayuntamiento de Córdoba > Informática";"Sí";"204";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. CORE";"Ayuntamiento de Córdoba > Informática";"Sí";"80";"far fa-window-restore";"2022-06-07 17:58";
"Aplicaciones > APL. Corporativas > APL-COR. Correo y Reparto";"Ayuntamiento de Córdoba > Informática";"Sí";"44";"far fa-window-restore";"2022-06-07 17:59";
"Aplicaciones > APL. Corporativas > APL-COR. CSTIC";"Ayuntamiento de Córdoba > Informática";"Sí";"75";"far fa-window-restore";"2022-06-07 17:59";
"Aplicaciones > APL. Corporativas > APL-COR. Delta";"Ayuntamiento de Córdoba > Informática";"Sí";"102";"far fa-window-restore";"2022-06-26 15:27";
"Aplicaciones > APL. Corporativas > APL-COR. eCO";"Ayuntamiento de Córdoba > Informática";"Sí";"82";"far fa-window-restore";"2022-06-07 17:59";
"Aplicaciones > APL. Corporativas > APL-COR. EPRIPER";"Ayuntamiento de Córdoba > Informática";"Sí";"84";"far fa-window-restore";"2022-06-07 17:59";
"Aplicaciones > APL. Corporativas > APL-COR. EXTRA";"Ayuntamiento de Córdoba > Informática";"Sí";"85";"far fa-window-restore";"2022-06-07 17:59";
"Aplicaciones > APL. Corporativas > APL-COR. FIRMADOC";"Ayuntamiento de Córdoba > Informática";"Sí";"74";"far fa-window-restore";"2022-06-07 18:00";
"Aplicaciones > APL. Corporativas > APL-COR. Flora";"Ayuntamiento de Córdoba > Informática";"Sí";"94";"far fa-window-restore";"2022-06-26 15:24";
"Aplicaciones > APL. Corporativas > APL-COR. GESTCEM";"Ayuntamiento de Córdoba > Informática";"Sí";"104";"far fa-window-restore";"2022-06-26 15:27";
"Aplicaciones > APL. Corporativas > APL-COR. GIS (ide.cordoba.es)";"Ayuntamiento de Córdoba > Informática";"Sí";"127";"far fa-window-restore";"2023-05-22 12:08";
"Aplicaciones > APL. Corporativas > APL-COR. GPA";"Ayuntamiento de Córdoba > Informática";"Sí";"45";"far fa-window-restore";"2022-06-07 18:00";
"Aplicaciones > APL. Corporativas > APL-COR. GRegistro";"Ayuntamiento de Córdoba > Informática";"Sí";"88";"far fa-window-restore";"2022-06-07 18:00";
"Aplicaciones > APL. Corporativas > APL-COR. INE/Censo";"Ayuntamiento de Córdoba > Informática";"Sí";"123";"far fa-window-restore";"2023-03-01 08:22";
"Aplicaciones > APL. Corporativas > APL-COR. Infolex";"Ayuntamiento de Córdoba > Informática";"Sí";"95";"far fa-window-restore";"2022-06-26 15:25";
"Aplicaciones > APL. Corporativas > APL-COR. JAC";"Ayuntamiento de Córdoba > Informática";"Sí";"119";"far fa-window-restore";"2023-01-16 11:34";
"Aplicaciones > APL. Corporativas > APL-COR. Lexnet";"Ayuntamiento de Córdoba > Informática";"Sí";"96";"far fa-window-restore";"2022-06-26 15:25";
"Aplicaciones > APL. Corporativas > APL-COR. MANSIS";"Ayuntamiento de Córdoba > Informática";"Sí";"98";"far fa-window-restore";"2022-06-26 15:26";
"Aplicaciones > APL. Corporativas > APL-COR. Matrimonios Civiles";"Ayuntamiento de Córdoba > Informática";"Sí";"97";"far fa-window-restore";"2022-06-26 15:25";
"Aplicaciones > APL. Corporativas > APL-COR. Notifica";"Ayuntamiento de Córdoba > Informática";"Sí";"213";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. Nube";"Ayuntamiento de Córdoba > Informática";"Sí";"120";"far fa-window-restore";"2023-01-16 11:34";
"Aplicaciones > APL. Corporativas > APL-COR. OMIC";"Ayuntamiento de Córdoba > Informática";"Sí";"117";"far fa-window-restore";"2022-12-21 13:39";
"Aplicaciones > APL. Corporativas > APL-COR. ORVE";"Ayuntamiento de Córdoba > Informática";"Sí";"202";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. Padrón Web";"Ayuntamiento de Córdoba > Informática";"Sí";"43";"far fa-window-restore";"2022-06-07 18:00";
"Aplicaciones > APL. Corporativas > APL-COR. PAGE";"Ayuntamiento de Córdoba > Informática";"Sí";"197";"far fa-window-restore";"2024-02-13 10:01";
"Aplicaciones > APL. Corporativas > APL-COR. PCTM";"Ayuntamiento de Córdoba > Informática";"Sí";"201";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local";"Ayuntamiento de Córdoba > Informática";"Sí";"101";"far fa-window-restore";"2023-10-23 15:13";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. ABANDONADOS";"Ayuntamiento de Córdoba > Informática";"Sí";"135";"far fa-window-restore";"2024-04-29 08:07";
