"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"Aduana";"Ayuntamiento de Córdoba > Informática";"S045";"Colegio Nacional Aduana, s/n. 14012 Córdoba";"957379781";"Sí";"0";"2022-03-16 14:22";
"Aduana > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Aduana > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Alcázar de los Reyes Cristianos";"Ayuntamiento de Córdoba > Informática";"S024";"Calle de las Caballerizas Reales, s/n. 14004 Córdoba";"957420151";"Sí";"2";"";
"Alcázar de los Reyes Cristianos > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Alcázar de los Reyes Cristianos > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Alcázar de los Reyes Cristianos > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Alcázar de los Reyes Cristianos > Planta 0 > Taquilla";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Alcázar de los Reyes Cristianos > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-01-17 13:54";
"Alcázar de los Reyes Cristianos > Planta 1 > Salon de los mosaicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-01-17 13:55";
"Almacén Archivo Municipal";"Ayuntamiento de Córdoba > Informática";"S090";"Pol. Ind. Granadal (calle Gema,16)";"957269122";"Sí";"1";"2023-12-19 12:48";
"Archivo Municipal";"Ayuntamiento de Córdoba > Informática";"S011";"Calle Sánchez de Feria, 10. 14003 Córdoba";"957203570";"Sí";"15";"";
"Archivo Municipal > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Archivo Municipal > Planta 1 > Archivo - Gestión documental (dpto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Archivo Municipal > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"AUCORSA";"Ayuntamiento de Córdoba > Informática";"S036";"Polígono Industrial Pedroche, s/n. 14014 Córdoba";"957764676";"Sí";"0";"2022-03-16 13:25";
